rank,bigram,pmi,frequency,message_count,contains_entity_term,network_score,first_seen,last_seen,example_message_id,example_timestamp,example_text,word_1,word_2
76,united states,8.045854607543243,39,39,False,313.7883296941865,2026-04-07 10:42:50+00:00,2026-04-14 13:05:00+00:00,184256,2026-04-07 10:42:50+00:00,"Iran urges southern neighbors to deny US military use of airspace, territory Iran has advised Saudi Arabia and the United Arab Emirates against allowing the...",united,states
77,mourning ceremony,8.036086831294421,8,8,False,64.28869465035537,2026-04-09 06:16:06+00:00,2026-04-10 22:40:18+00:00,184591,2026-04-09 06:16:06+00:00,Assyrians in the northwestern Iranian city of Urmia held a 40th-day mourning ceremony for the late Leader of the Islamic Revolution Ayatollah Seyyed Ali...,mourning,ceremony
78,since martyrdom,8.00837990212458,19,19,False,152.15921814036702,2026-04-08 10:42:50+00:00,2026-04-12 21:12:27+00:00,184427,2026-04-08 10:42:50+00:00,🔴 Slogan of English KHAMENEI.IR on the occasion of the 40th day after the martyrdom of Imam Sayyid Ali Khamenei On the eve of April 8 — the 40th day since...,since,martyrdom
79,commander quds,7.983012088705191,5,5,False,39.91506044352596,2026-04-09 12:29:45+00:00,2026-04-13 11:20:01+00:00,184639,2026-04-09 12:29:45+00:00,Commander of IRGC Quds force praises resistance forces for delivering ‘regret-inducing’ response to enemies The commander of the Quds Force of the Islamic...,commander,quds
80,mojtaba khamenei,7.973674224125855,5,5,False,39.86837112062928,2026-04-09 17:40:44+00:00,2026-04-13 14:00:35+00:00,184675,2026-04-09 17:40:44+00:00,"🔴 Iran's Leader of the Islamic Revolution, Seyyed Mojtaba Khamenei, issues a message on the occasion of the 40th anniversary of the martyrdom of the late...",mojtaba,khamenei
81,beirut's southern,7.950590611012814,6,6,False,47.70354366607688,2026-04-08 20:11:26+00:00,2026-04-09 04:54:15+00:00,184522,2026-04-08 20:11:26+00:00,Moment an Israeli airstrike hit a residential building in Beirut’s southern suburbs. @PressTV,beirut's,southern
82,armed forces,7.950590611012812,33,32,False,262.36949016342277,2026-04-07 12:28:12+00:00,2026-04-14 04:15:06+00:00,184271,2026-04-07 12:28:12+00:00,"Press TV's Maryam Azarchehr says Iranian armed forces were ready for the US operation in Isfahan based on received intelligence, suggesting earlier remarks...",armed,forces
83,corps irgc,7.932386015635224,20,20,False,158.64772031270448,2026-04-07 11:50:04+00:00,2026-04-13 19:07:07+00:00,184266,2026-04-07 11:50:04+00:00,"Wave 99: IRGC pounds US petchem sites, vows 'no restraint’ if Iranian infrastructure hit The Islamic Revolution Guards Corps (IRGC) has pounded US-owned...",corps,irgc
84,prime minister,7.883476415154277,26,25,False,204.9703867940112,2026-04-07 23:56:03+00:00,2026-04-14 14:25:01+00:00,184372,2026-04-07 23:56:03+00:00,"🇵🇰 Pakistan’s Prime Minister Shehbaz Sharif: I am pleased to announce that the Islamic Republic of Iran and the United States of America, along with their...",prime,minister
85,security official,7.83617070037592,5,4,False,39.1808535018796,2026-04-08 14:32:18+00:00,2026-04-10 13:37:28+00:00,184470,2026-04-08 14:32:18+00:00,"🔴 Exclusive: Iranian security official warns of ""comprehensive defense"" if Israel breaks ceasefire 🔺 A senior security official told Press TV today that the...",security,official
86,foreign policy,7.757945533070419,10,10,False,77.57945533070419,2026-04-07 12:45:14+00:00,2026-04-14 11:35:21+00:00,184273,2026-04-07 12:45:14+00:00,Former U.S. Congresswoman Cynthia McKinney says that almost everyone in the U.S. at this moment knows that the Zionists are in full control of US domestic...,foreign,policy
87,airstrike targeted,7.703868860314627,8,8,False,61.63095088251701,2026-04-08 12:21:21+00:00,2026-04-11 17:52:23+00:00,184440,2026-04-08 12:21:21+00:00,▶️ Footage captures the Israeli airstrike that targeted the Al-Basta neighbourhood in central Beirut. @PressTV,airstrike,targeted
88,revolution guards,7.69905184401685,19,19,False,146.28198503632015,2026-04-07 11:50:04+00:00,2026-04-13 19:07:07+00:00,184266,2026-04-07 11:50:04+00:00,"Wave 99: IRGC pounds US petchem sites, vows 'no restraint’ if Iranian infrastructure hit The Islamic Revolution Guards Corps (IRGC) has pounded US-owned...",revolution,guards
89,government armed,7.661083993817828,6,6,False,45.96650396290697,2026-04-08 20:45:13+00:00,2026-04-14 01:15:05+00:00,184525,2026-04-08 20:45:13+00:00,Iranians in Tehran’s Sadeghiyeh Square continue supporting the government and armed forces as they mark the 40th day of mourning for the late Leader...,government,armed
90,resistance movement,7.642468315650483,9,9,False,68.78221484085435,2026-04-07 17:40:01+00:00,2026-04-13 09:01:09+00:00,184327,2026-04-07 17:40:01+00:00,Ansarullah stresses independence of its decision to act against Israeli-American aggression Yemeni resistance movement Ansarullah says its solidarity strikes...,resistance,movement
